Library,Contributors,Forks,Watchers,Stars,Issues,PRs,Releases,Commits,Test Coverage,License
`TorchGeo`_,135,589,56,"4,182",227,"3,330",21,"3,401",100%,MIT
`TerraTorch`_,53,163,25,861,52,917,53,"3,857",55%,Apache-2.0
`DeepForest`_,42,264,17,772,100,727,117,"1,324",87%,MIT
`OTB`_,41,128,39,392,4,25,129,"34,740",50%,Apache-2.0
`openEO`_,39,56,15,217,208,332,77,"2,981",70%,Apache-2.0
`Raster Vision`_,32,397,68,"2,241",45,"1,470",25,"3,641",90%,Apache-2.0
`GeoAI`_,29,479,43,"3,378",12,578,93,595,6%,MIT
`samgeo`_,27,444,60,"4,145",6,259,64,365,13%,MIT
`spopt`_,21,66,11,380,39,290,20,"1,115",77%,BSD-3-Clause
`SPy`_,19,148,33,682,21,44,33,610,69%,MIT
`GDL`_,18,70,15,202,26,287,64,"1,391",7%,MIT
`py4dgeo`_,18,32,9,149,25,378,12,"1,641",75%,MIT
`SITS`_,17,90,26,548,19,753,50,"7,015",91%,GPL-2.0
`GeoTessera`_,16,38,5,345,62,70,21,501,15%,MIT
`ML4Floods`_,15,45,17,182,1,78,0,880,0%,LGPL-3.0
`srai`_,15,32,11,390,104,288,44,345,75%,Apache-2.0
`AIDE`_,11,62,22,246,29,26,4,782,0%,MIT
`scikit-eo`_,8,30,8,252,3,15,26,585,32%,Apache-2.0
`Myria3D`_,7,37,12,294,19,83,31,994,57%,BSD-3-Clause
`rs-embed`_,6,16,1,157,9,92,5,590,61%,Apache-2.0
`GeoDeep`_,4,56,12,509,2,4,13,106,0%,AGPL-3.0
`torchange`_,2,21,6,267,9,18,5,200,0%,Apache-2.0
